id,email,country,signup_date,status,last_seen,referral_code,phone_prefix,signup_date_clean,last_seen_clean,prefix_flag
1,user_1@yahoo.fr,IT,2021-02-09 21:26:47,1.0,2021-04-28 14:23:00,,+49,2021-02-09 21:26:47,2021-04-28 14:23:00,mismatch
2,user_2@gmail.com,CH,2022-01-09T06:49:44Z,0.0,2023-01-05 17:03:20,,+41,2022-01-09 06:49:44,2023-01-05 17:03:20,ok
3,user_3@outlook.com,BE,1584765297,1.0,2021-07-30 05:38:37,27cb14dc,+32,2020-03-21 04:34:57,2021-07-30 05:38:37,ok
4,user_4@hotmail.com,DE,2020-07-13T23:53:58Z,0.0,2024-06-10 09:06:04,,+49,2020-07-13 23:53:58,2024-06-10 09:06:04,ok
5,user_5@outlook.com,DE,21/07/2020 08:54,0.0,2026-03-06 20:16:50,,+49,2020-07-21 08:54:00,2026-03-06 20:16:50,ok
6,user_6@free.fr,,2023-03-09 18:54:13,1.0,2024-01-29 05:53:30,df55f8c3,,2023-03-09 18:54:13,2024-01-29 05:53:30,unknown
7,user_7@gmail.com,IT,2024-11-25T09:10:59Z,1.0,2025-05-14 23:06:23,,+39,2024-11-25 09:10:59,2025-05-14 23:06:23,ok
8,user_8@hotmail.com,,2022-11-03 16:05:01,0.0,2023-09-29 23:22:32,,+351,2022-11-03 16:05:01,2023-09-29 23:22:32,unknown
9,user_9@yahoo.fr,CH,2025-02-15T23:22:07Z,0.0,2025-12-23 04:44:01,42f93753,+351,2025-02-15 23:22:07,2025-12-23 04:44:01,mismatch
10,user_10@proton.me,ES,2025-03-26T08:39:40Z,0.0,2025-09-24 03:12:08,,,2025-03-26 08:39:40,2025-09-24 03:12:08,unknown
11,user_11@yahoo.fr,AT,08/10/2026 10:23,0.0,2023-07-14 04:17:17,8f42841e,+43,2026-08-10 10:23:00,2023-07-14 04:17:17,ok
12,user_12@outlook.com,DE,1719295517,0.0,2025-10-11 06:06:56,,+49,2024-06-25 06:05:17,2025-10-11 06:06:56,ok
13,user_13@yahoo.fr,,2023-04-02 17:48:27,0.0,2024-07-23 10:45:54,,,2023-04-02 17:48:27,2024-07-23 10:45:54,unknown
14,user_14@proton.me,ES,26/03/2021 17:23,0.0,2022-04-29 14:56:42,,+34,2021-03-26 17:23:00,2022-04-29 14:56:42,ok
15,user_15@free.fr,FRA,15/11/2021 22:54,0.0,2024-07-11 10:09:42,0f67a2d4,+39,2021-11-15 22:54:00,2024-07-11 10:09:42,country_not_mapped
16,user_16@gmail.com,IT,2020-03-23 08:11:17,1.0,2020-10-29 21:48:58,ea346a31,+39,2020-03-23 08:11:17,2020-10-29 21:48:58,ok
17,user_17@hotmail.com,DE,2025-01-08 04:03:33,0.0,2026-03-31 17:25:22,,,2025-01-08 04:03:33,2026-03-31 17:25:22,unknown
18,user_18@gmail.com,FR,2020-08-16 07:17:46,99.0,2026-03-08 12:28:06,59e8dff8,+33,2020-08-16 07:17:46,2026-03-08 12:28:06,ok
19,user_19@gmail.com,AT,06/02/2024 08:02,4.0,2025-02-28 09:30:30,,+49,2024-06-02 08:02:00,2025-02-28 09:30:30,mismatch
20,user_20@hotmail.com,IT,05/03/2022 09:43,0.0,2022-11-18 18:15:35,,+39,2022-05-03 09:43:00,2022-11-18 18:15:35,ok
21,user_21@free.fr,DE,2024-01-13T15:52:59Z,0.0,2025-03-31 18:44:42,,,2024-01-13 15:52:59,2025-03-31 18:44:42,unknown
22,user_22@gmail.com,FR,2024-10-10 13:00:17,1.0,2024-11-26 21:20:10,,+33,2024-10-10 13:00:17,2024-11-26 21:20:10,ok
23,user_23@free.fr,ES,2021-09-29 08:06:49,0.0,2022-04-30 05:26:03,,,2021-09-29 08:06:49,2022-04-30 05:26:03,unknown
24,user_24@outlook.com,,2023-09-24T11:40:30Z,0.0,2026-03-19 04:33:18,7fedd92a,+49,2023-09-24 11:40:30,2026-03-19 04:33:18,unknown
25,user_25@proton.me,DE,2020-03-29 22:36:39,0.0,2024-02-21 18:51:21,,+49,2020-03-29 22:36:39,2024-02-21 18:51:21,ok
26,user_26@proton.me,FRANCE,1682214973,0.0,2024-07-08 19:02:13,,,2023-04-23 01:56:13,2024-07-08 19:02:13,unknown
27,user_27@gmail.com,FRANCE,2021-01-16 19:58:09,0.0,2022-03-10 01:26:25,78bbc496,,2021-01-16 19:58:09,2022-03-10 01:26:25,unknown
28,user_28@gmail.com,DE,2022-04-20T04:57:27Z,4.0,2026-02-24 14:20:53,caece60a,+49,2022-04-20 04:57:27,2026-02-24 14:20:53,ok
29,user_29@gmail.com,,2023-10-20 18:38:52,0.0,2026-03-10 02:46:17,,+33,2023-10-20 18:38:52,2026-03-10 02:46:17,unknown
30,user_30@gmail.com,,2022-10-14T17:24:30Z,4.0,2024-05-03 04:36:07,,,2022-10-14 17:24:30,2024-05-03 04:36:07,unknown
31,user_31@yahoo.fr,,2021-06-24 04:19:55,3.0,2023-06-29 16:44:47,,,2021-06-24 04:19:55,2023-06-29 16:44:47,unknown
32,user_32@free.fr,DE,2022-04-11 00:41:26,0.0,2023-05-30 11:55:42,,+49,2022-04-11 00:41:26,2023-05-30 11:55:42,ok
33,user_33@yahoo.fr,PT,06/02/2022 02:44,0.0,2023-01-18 09:56:31,,+351,2022-06-02 02:44:00,2023-01-18 09:56:31,ok
34,user_34@gmail.com,,2024-09-21 23:08:34,4.0,2025-06-06 04:13:25,131bad5c,,2024-09-21 23:08:34,2025-06-06 04:13:25,unknown
35,user_35@proton.me,IT,2023-11-16T19:53:11Z,0.0,2023-02-13 19:53:11,,+39,2023-11-16 19:53:11,2023-02-13 19:53:11,ok
36,user_36@free.fr,,2021-11-03 04:00:15,0.0,2024-12-08 18:19:32,,+351,2021-11-03 04:00:15,2024-12-08 18:19:32,unknown
37,user_37@proton.me,ES,2022-12-09T09:57:36Z,1.0,2024-08-25 12:32:01,41d44f30,+34,2022-12-09 09:57:36,2024-08-25 12:32:01,ok
38,user_38@hotmail.com,DE,2020-03-02T06:16:08Z,0.0,2022-10-02 08:49:39,6e1e706e,,2020-03-02 06:16:08,2022-10-02 08:49:39,unknown
39,user_39@free.fr,FRA,2021-08-10 05:06:26,0.0,2022-04-30 15:55:14,,,2021-08-10 05:06:26,2022-04-30 15:55:14,unknown
40,user_40@hotmail.com,FR,2021-06-01 19:30:28,0.0,2021-08-16 16:47:48,c932fd6e,+34,2021-06-01 19:30:28,2021-08-16 16:47:48,mismatch
41,user_41@yahoo.fr,ES,2020-03-18T05:27:04Z,2.0,2021-02-12 09:10:33,,+34,2020-03-18 05:27:04,2021-02-12 09:10:33,ok
42,user_42@proton.me,FR,2021-04-19T06:29:02Z,1.0,2025-04-01 20:47:41,,+41,2021-04-19 06:29:02,2025-04-01 20:47:41,mismatch
43,user_43@hotmail.com,AT,2023-12-16 09:43:42,1.0,2024-08-19 15:33:54,,+43,2023-12-16 09:43:42,2024-08-19 15:33:54,ok
44,user_44@outlook.com,IT,2022-07-02 03:28:10,0.0,2024-05-15 11:06:30,242adfc0,+39,2022-07-02 03:28:10,2024-05-15 11:06:30,ok
45,user_45@hotmail.com,PT,2023-09-10T22:47:33Z,0.0,2025-06-05 03:11:54,,+351,2023-09-10 22:47:33,2025-06-05 03:11:54,ok
